爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1676446119,949351319,1004736905,407275913,【假装讲电影】超爽！大哥扫黑除恶被杀！弟弟一人灭掉整个黑帮！1人打300人！,假装讲电影,1676196520,1676196520,1082,原片名：《黄沙战神》,影视杂谈,182,11,影评;印度电影;影视剪辑;电影剪辑;神剧;搞笑;影评杂谈;画渣花小烙;假装讲电影;春日迷影电影院;影娱新春游园会,111377;57220;318570;105624;20953;1833;1612425;12626959;18330939;32916187;33364628,16559,4018,0,4451,0,39295,972,2191,488910,1,0,无,无,无
1676446128,481858402,1006648780,1629347259,（上集）红警被四家联手针对！遭到淡淡色无数次闪电风暴攻击！,红警HBK08,1676332800,1676302483,936,,单机游戏,17,11,实况攻略;实况解说;游戏解说;红色警戒;怀旧;红色警戒2;红警;闪电;闪电风暴;即时战略;针对,673152;7160;19890;232;962;59337;20468;13645;406134;22999;2514514,4119,1655,0,740,0,21571,404,204,301108,1,0,无,无,无
1676446134,608964463,997728500,1340190821,《崩坏：星穹铁道》白露角色PV——「天干物燥」,崩坏星穹铁道,1675994400,1675775379,382,"《崩坏：星穹铁道》白露角色PV——「天干物燥」

天干物燥，小心上火。内燥外调，外燥内养。要是都燥，就得吃药！

中文CV：
白露——多多

日文CV：
白露——加藤英美里",手机游戏,172,10,手机游戏;PV;崩坏：星穹铁道;崩坏星穹铁道;仙舟罗浮;星穹铁道跃迁测试;白露;米哈游;miHoYo;星穹铁道白露,3007;625;21744669;21766990;27076675;34483224;45072;1615271;2694798;34645262,40254,3528,0,33863,5,258715,6962,58371,2690276,1,0,无,无,无
1676446144,821822873,1006168298,19286458,陈翔六点半：一堵隔音差的墙,陈翔六点半,1676283046,1676283046,436,一堵隔音差的墙隔着一对单身男女，不仅不能隔音，也不能隔心。,小剧场,85,11,B站小剧场;爱情;反转;陈翔六点半;生活;高能;情感藏在细节里;套路;温馨;隔墙有你;B站小剧场·新春放映会,17655328;943;13444;1140107;1742;7729;20447683;192387;17344;7456640;33421257,2536,3142,0,748,0,21826,1062,409,426551,1,0,无,无,无
1676446154,609179288,1003557986,7807024,突遇战乱！如何组织大家收集物资？？【生存狂想】,幽灵校长,1676121408,1676121408,644,"你住过宿舍么？你对同寝室那些天赋异禀的兄弟姐妹们有印象么？
如果突发战乱，你和他们同在
如何组织他们收集物资躲避战乱
这就是本期纸上谈兵的话题
如果您觉得喜欢还请给个三连
战时收集物资",人文历史,228,8,生存;战争;求生;生存狂想;战乱;纸上谈兵;逃离塔科夫;历史人文档案馆,14224;3158;17464;16192023;482690;859810;1483890;24687523,3501,1277,0,12087,0,21912,901,1472,365668,1,0,无,无,无
1676446162,864275799,1002007028,19286458,陈翔六点半：同患难，不共富贵,陈翔六点半,1676198576,1676198576,312,两个一起来城市打拼的兄弟，一个踏实能干，一个野心勃勃，合伙开了一家公司，公司红火了，友情却黄了。,小剧场,85,11,B站小剧场;创业;奇葩;兄弟情;陈翔六点半;情感;反转;搞笑;生活;共患难;B站小剧场·新春放映会,17655328;128384;19878;130207;1140107;66605;13444;1833;1742;4491486;33421257,2120,1204,0,1051,0,26194,794,304,474348,1,0,无,无,无
1676446173,609341498,1005754866,1047377798,大宋破壁人——秦桧,直男文史课,1676262552,1676262552,484,,人文历史,228,8,人文历史;中二;宋朝;秦桧;自制动画;原创手绘;满江红;历史很难吗,1251227;3464;384471;551083;213158;318281;232159;32669441,1010,637,0,911,0,11441,663,303,239372,1,0,无,无,无
1676446179,309210940,1003187306,59550906,国风水彩动画短片！艾尔平方《看麦子》正式全网上线！！,wuhu动画人空间,1676178000,1676105620,373,"https://weibo.com/2558635914?refer_flag=1001030103_
《看麦子》以国风水彩的风格呈现，讲述了接下父母交给自己保护麦子不被雨淋任务的小男孩，独自应对即将到来的暴雨的故事。
今日，《看麦子》正式全网上线，艾尔平方希望大家一同喜欢这个承载童年回忆的故事！十年之际再出发，明年上映的#雪孩子大电影 一定不负期待！",综合,27,11,短片;绘画;动画短片;中国风;国风;水彩;动画;丰收;粮食;麦子;艾尔平方,857;2800;26517;8562;116390;29105;358;1042417;482306;77056;2600052,4094,1241,0,6220,0,21027,786,1515,305327,2,0,无,无,无
1676446190,906687156,1002900568,70744200,《流浪地球2》第五条故事线-【全站最硬核】-人类并不感谢马兆,天师道的白山正,1676091833,1676091833,1162,"本来我自己捋出这个逻辑的时候是不敢肯定的，但是看完@极客队长GeekLead  的人在回路讲解，我又有信心了，不管对不对，至少逻辑是自洽的。

影片里关于马老师的伏笔其实还有很多，但是考虑到篇幅，我就只挑选了我再一次观影发现比较重点的5个点，网上很多大佬已经写过的我就没讲了，不过说真的，细琢磨的时候，带给我最大冲击的还是宁理老师的演技和这版不管怎么解读都能说的通的精妙构思。

最后，求三连，求三连，求三连。",影视杂谈,182,10,科幻;人文;影评杂谈;马兆;中国科幻;流浪地球;海鸥;宁理;流浪地球2;共赴流浪地球2新春之旅,5251;40737;1612425;24228796;96732;210691;81554;4732870;9741441;33203609,8827,3518,0,7744,0,30088,1349,3462,473217,1,0,海鸥,,海鸥
1676446202,436661462,1003385694,484835016,舔狗不开心篇,楚南-,1676113227,1676113227,173,-,搞笑,138,2,好梦;舔狗,2726039;7247161,3000,2846,0,14742,53,79602,2403,15008,1199229,1,0,cy,,cy
