tag_id,标签名,标签描述,订阅数,使用次数
111377,影评,对影视作品的导演、演员、视听语言、剧情、票房、相关原作等进行介绍、分析和评论,944802,448215
57220,印度电影,,17800,42899
318570,影视剪辑,,495554,10076452
105624,电影剪辑,,146809,3364538
20953,神剧,,516,25202
1833,搞笑,一起进来每日补充沙雕能量,2646958,26221434
1612425,影评杂谈,1,84791,819454
12626959,画渣花小烙,,19,86
18330939,假装讲电影,,1,68
32916187,春日迷影电影院,,2,61709
33364628,影娱新春游园会,,5,978883
673152,实况攻略,游戏实况与攻略视频,25357,45070
7160,实况解说,,25994,2901346
19890,游戏解说,,51318,924323
232,红色警戒,红色警戒，一款即时战略游戏。,20199,145685
962,怀旧,,55698,1685272
59337,红色警戒2,,11519,132264
20468,红警,,2437,101568
13645,闪电,,303,32725
406134,闪电风暴,,10,1202
22999,即时战略,,554,157221
2514514,针对,,1,3873
3007,手机游戏,,174414,17325343
625,PV,PV是MV(music video 音乐电影)在日本的常见称呼promotion video的略称。两者完全是指的同一个事物。有时也被称为music clip或者video clip。,34179,119250
21744669,崩坏：星穹铁道,,5692,8963
21766990,崩坏星穹铁道,,3580,6211
27076675,仙舟罗浮,,0,167
34483224,星穹铁道跃迁测试,,5,340
45072,白露,,66,7804
1615271,米哈游,,4284,1240543
2694798,miHoYo,,1748,12726
34645262,星穹铁道白露,,0,12
17655328,B站小剧场,,145,479638
943,爱情,,199849,5369044
13444,反转,,889,89189
1140107,陈翔六点半,,2585,27670
1742,生活,,201267,23417929
7729,高能,,162255,5791905
20447683,情感藏在细节里,,0,28
192387,套路,,1113,74516
17344,温馨,,360,45332
7456640,隔墙有你,,0,5
33421257,B站小剧场·新春放映会,,0,55106
14224,生存,,74539,450632
3158,战争,,72569,1146464
17464,求生,,948,39416
16192023,生存狂想,,82,67
482690,战乱,,3,283
859810,纸上谈兵,,3,842
1483890,逃离塔科夫,,34721,139609
24687523,历史人文档案馆,,96,367651
128384,创业,,8021,1135185
19878,奇葩,,94001,3425866
130207,兄弟情,,1586,23851
66605,情感,,11430,5034135
4491486,共患难,,0,20
1251227,人文历史,,905,22408
3464,中二,,538,26347
384471,宋朝,,216,18195
551083,秦桧,,2,1845
213158,自制动画,,947,52635
318281,原创手绘,,16,607
232159,满江红,,101,22189
32669441,历史很难吗,,0,29
857,短片,,221098,2246871
2800,绘画,从原始的象形纹样到现代使用计算机绘画的一门艺术,806799,3912579
26517,动画短片,世界范围内一些优秀的动画短片，大多是欧美的，也有中国韩国日本等国家的（不过还是欧美居多）。,102096,1755380
8562,中国风,国风的魅力也是不可比拟的,192271,563320
116390,国风,,2357,191030
29105,水彩,,226470,290618
358,动画,,143680,2171990
1042417,丰收,,3,4118
482306,粮食,,84,12895
77056,麦子,,110,2407
2600052,艾尔平方,,44,369
5251,科幻,未来是什么样的？,459601,989322
40737,人文,,585139,1581146
24228796,马兆,,1,637
96732,中国科幻,,23,1100
210691,流浪地球,,7418,49673
81554,海鸥,,173,18980
4732870,宁理,,18,2505
9741441,流浪地球2,,732,23203
33203609,共赴流浪地球2新春之旅,,0,13198
2726039,好梦,,2,707
7247161,舔狗,,1649,51436
530918,动漫杂谈,,514119,569172
