爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1676475021,736758696,1007266352,5142241,情人节 ❤️快来看你老婆跳舞了,绫濑双双,1676352602,1676352602,99,"第一次出cos跳舞！不还原的话轻喷
感谢道具老师陪我拍一天！",舞蹈综合,154,12,游戏赛事;英雄联盟;舞蹈;电子竞技;高跟鞋;翻跳;childhood dreams;情人节;lpl;s13;萨勒芬妮;萌宅COS赏,1538509;9222;376;62526;47708;31878;16246258;16869;2513901;4253534;16565023;23783036,2502,362,0,12637,0,14421,176,562,241656,1,0,无,无,无
1676475027,864262636,1007198473,1911301424,你小子真有福气❤你的女友,Pinkkoi少女梦,1676368800,1676349353,136,"祝大家情人节快乐呀~
出品：宅舞联萌工作室
舞蹈出处：七河BV1JW411p7je
摄影后期：奥斯赛特",宅舞,20,9,舞蹈;宅舞;Pinkkoi;宅舞联萌;舞蹈翻跳;你的女友;Pinkkoi少女梦;歌舞打卡挑战;情人节用舞蹈定义心动,376;9500;27804152;346387;800245;3103324;27836644;31813197;35061075,1636,190,0,10037,0,10492,280,768,147154,1,1,无,无,无
1676475032,864293397,1005290462,35749974,🐔阳✨光✨开✨朗✨大✨只✨因🐔,秋名山上的切莫,1676260800,1676230875,153,"填词@雨巷独酌Rainfall  
PV调混皆我如此，我是阳光开朗大男孩~",人力VOCALOID,126,8,鬼畜;蔡徐坤;哔哩哔哩;蜜汁带感;坤坤;人力Vocaloid;ikun;鬼畜星探企划,68;1339688;680;971987;1686354;2570162;6020278;16637150,1392,422,0,2122,0,6049,110,827,63201,1,0,香翅捞饭,,香翅捞饭
1676475036,906992933,1009194787,1458143131,朋友们下次催婚提我 好使,侯翠翠,1676455300,1676455300,117,-,日常,21,6,生活记录;情感;相亲;婚姻;“遇见你，怦然心动”2023情人节活动;恋爱还能这么谈？！,1057109;66605;32654;209268;35076622;35077054,2524,642,0,777,0,23193,969,753,304136,1,0,不以结婚为目的谈恋爱,,不以结婚为目的谈恋爱
1676475046,436719812,1004509856,1656354611,全明星无缝衔接，台词混剪看完极度舒适！,牧鱼说影,1676184221,1676184221,249,,影视剪辑,183,11,影视混剪;鬼畜;全明星;剪辑;搞笑;影视剪辑;混剪;丝滑;台词混剪;经典台词名场面;影娱新春游园会,882598;68;4286;8990;1833;318570;147345;1524413;3748636;33116597;33364628,3227,302,0,3250,0,25144,193,992,244262,1,0,无,无,无
1676475052,266804626,1007435665,314183,当福州三坊七巷街头响起了k-on！,夏季八煮,1676366400,1676359397,204,"原曲 
《轻飘飘的时间》-放课后茶会
《don‘t say lazy》-放课后茶会

合作乐手@提琴社

让轻音响遍福州大街小巷计划启动哈哈哈",音乐现场,29,12,音乐现场;街头;轻音少女;现场;夏季八煮;三坊七巷;福州;乐队;提琴社;必剪创作;音乐分享官6.0;这音乐像极了爱情,389808;1115;1726;7992;11156991;1219322;41520;7114;8950591;15775524;34328030;35324646,2382,201,0,1198,0,6505,494,936,68809,1,0,无,无,无
1676475061,566906098,1008571100,419872064,吃面喝汤比肉还香！豪华版猪脚面，强哥都挡不住的诱惑~,老饭骨,1676455200,1676432930,374,,美食制作,76,11,美食;厨艺;吃货;美食教程;美食制作;家常菜;小吃;高启强;猪肉;面条;狂飙,20215;239855;6942;370803;562935;94337;56406;29755462;12644;78415;20496,2923,688,0,4398,0,18261,332,2109,256279,1,0,无,无,无
1676475067,479490781,1008865446,2068622664,为了满足网友的无理要求，我竟然把它做出来了,猪坚强jqsg999,1676442485,1676442485,119,床车3.0 飞一样的感觉,手工,161,7,手工;人间大炮;自制;手工DIY;吊床;床车;今年定要闪闪发光,11265;28870;1217;1469868;535319;3345191;34905513,6283,728,0,805,0,23446,582,418,220466,1,0,无,无,无
1676475076,524343490,1007656152,15277160,我买了一张许嵩《庐州月》卡,大力滴滴滴,1676368460,1676368461,252,"原唱：许嵩
翻唱：大力滴滴滴
视频：@邓雪葵  好兄弟
新翻唱来了，你说你们还想听谁的歌？我尽力 
素材来源：中国唱诗班",翻唱,31,8,翻唱;国风音乐;许嵩;中国风;古风;大力滴滴滴;庐州月;Cover,386;1728359;63887;8562;8227;21431403;185753;2516142,6373,565,0,1928,0,7985,733,1241,106794,1,0,无,无,无
1676475087,481620148,999705261,38968617,“ 九 转 大 汤 ”,大福咕咕,1675945800,1675905761,280,"BGM：YOU-Axero
            皇帝圆舞曲
            还不三连？嗯？",动漫杂谈,253,10,同人配音;动漫杂谈;搞笑;经典;猫和老鼠;配音;动画嘉年华2023灼夜花火;综漫;九转大肠;沙雕,44006;530918;1833;1296;167;3151;34303082;43457;910493;421428,19564,1794,0,12622,0,71459,1156,601,415683,1,0,无,无,无
