tag_id,标签名,标签描述,订阅数,使用次数
1538509,游戏赛事,,20149,28770
9222,英雄联盟,《英雄联盟》是由美国Riot Games开发的3D大型竞技场战网游戏，让玩家感受全新的英雄对战。,1615377,4402924
376,舞蹈,,144779,2615413
62526,电子竞技,电子竞技（Electronic Sports）就是电子游戏比赛达到“竞技”层面的体育项目。,111421,9597009
47708,高跟鞋,,55262,195371
31878,翻跳,1,148138,902710
16246258,childhood dreams,,7,44
16869,情人节,,363,255433
2513901,lpl,,231,30373
4253534,s13,,2,764
16565023,萨勒芬妮,,3935,5608
23783036,萌宅COS赏,,7,3903
9500,宅舞,宅舞是一个仅在中国大陆地区使用的名词，一般用来指代使用了与ACGN文化有关的音乐作为伴奏所编排的舞蹈作品。,615581,547131
27804152,Pinkkoi,,0,29
346387,宅舞联萌,,7,287
800245,舞蹈翻跳,,448,342200
3103324,你的女友,,4374,1481
27836644,Pinkkoi少女梦,,0,25
31813197,歌舞打卡挑战,,0,29469
35061075,情人节用舞蹈定义心动,,0,5974
68,鬼畜,起源于NICONICO动画，由最早出现的音MAD《最终鬼畜妹フランドール・S》中的“鬼畜”略称而得名。,2316845,1144198
1339688,蔡徐坤,,95797,568499
680,哔哩哔哩,,7510,204418
971987,蜜汁带感,,2214,178952
1686354,坤坤,,410,115566
2570162,人力Vocaloid,,310,608
6020278,ikun,,107,100998
16637150,鬼畜星探企划,,1093,157659
1057109,生活记录,,57217,26011318
66605,情感,,11430,5038385
32654,相亲,,749,150076
209268,婚姻,,908,642365
35076622,“遇见你，怦然心动”2023情人节活动,,1,175067
35077054,恋爱还能这么谈？！,,0,232
882598,影视混剪,以多部影视剧为素材且具有一定制作程度的二次创作视频,388766,103597
4286,全明星,"经常上NICONICO和BiliBili这类弹幕视频站的朋友想必对“全明星”一词并不陌生吧。
　　说道全明星，一般都会想到鬼畜，鬼畜原本是一个贬义词,源自日语，原意指像魔鬼畜生一样残酷无情。
　　而在NICONICO和BiliBili出现的全明星鬼畜类型MAD则多指通过视频（或音频）剪辑，用频率极高的重复画面（或声音）组合而成的一段节奏配合音画同步率极高的一类视频。",241365,58190
8990,剪辑,1,162004,9858029
1833,搞笑,一起进来每日补充沙雕能量,2646944,26236457
318570,影视剪辑,,495566,10085709
147345,混剪,,149889,3946828
1524413,丝滑,,148,21411
3748636,台词混剪,,77,777
33116597,经典台词名场面,,0,3466
33364628,影娱新春游园会,,5,992464
389808,音乐现场,收录音乐实况表演视频，和音乐来一次最本质的亲密接触,82711,1633216
1115,街头,,2529,182100
