video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数
224501675,1677121911,1012591204,普通人如何翻身逆袭？,1676640504,1676640504,458,职业职场,10,26,1,76,0,102,4,11,1207,1,0,26.0,2.0,0.0,77.0,103.0,4.0,12.0,1238.0,6.0,354088.0,244.0,324807.65573770495,13214.860655737704,0,？,0,5.571840277777778,177399.9,0,0,0.3333333333333333,1.6666666666666667
224527942,1677120885,1012186608,想要升职就先学会摆烂,1676704200,1676625454,103,职业职场,3,45,3,258,0,417,9,102,11136,1,0,47.0,3.0,0.0,276.0,449.0,10.0,107.0,12427.0,3.0,30113.0,213.0,5676.591549295775,320.0469483568075,1,。,0,4.822743055555556,46990.333333333336,0,0,0.8,9.4
224553368,1677115643,1014284874,Creo/proe-ipad曲面造型，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,1676936640,1676728375,109,职业职场,10,2,0,34,0,21,0,1,782,1,0,2.0,0.0,0.0,36.0,23.0,0.0,1.0,822.0,5.0,47202.0,490.0,3911.4510204081635,72.35510204081632,1,。,0,2.0717939814814814,150.7,0,0,0.0,0.0
224587615,1677120367,1012338079,老板和管理者有没有好好对待离职员工,1676722500,1676629840,241,职业职场,10,4,0,17,0,64,0,9,2846,1,0,4.0,0.0,0.0,19.0,75.0,0.0,9.0,3122.0,4.0,40093.0,895.0,3076.863687150838,115.21005586592179,0,。,0,4.60494212962963,13039.4,0,0,0.0,0.0
224635184,1677115851,1017478288,警惕程序员的成长陷阱,1676902944,1676902944,335,职业职场,10,525,137,709,0,1213,204,199,32273,1,0,550.0,141.0,0.0,764.0,1295.0,214.0,212.0,35097.0,6.0,37106.0,38.0,126130.13157894737,5844.210526315789,1,。,0,2.4642013888888887,5669.3,5,0,1.75,10.88888888888889
224654221,1677116587,1017065976,"如果有人每个月能给你赚200万,你觉得给他多少合适呢?",1676884191,1676884191,114,职业职场,11,6,2,11,0,46,5,3,1130,1,0,6.0,2.0,0.0,11.0,46.0,5.0,3.0,1140.0,6.0,94451.0,263.0,117574.01901140684,4279.836501901141,0,。,0,2.6897685185185187,37279.818181818184,0,0,0.0,1.0
224735385,1677116194,1016600202,一招让他闭嘴！黑心领导再敢抢你功劳就这么说！,1676894400,1676864690,148,职业职场,10,7,0,28,0,97,1,0,1450,1,0,7.0,0.0,0.0,29.0,100.0,1.0,0.0,1573.0,6.0,210667.0,354.0,35247.627118644064,1114.8898305084747,1,！,0,2.567060185185185,22801.0,0,0,0.0,0.0
224760645,1677112011,1020105583,Exce表格中，如何使用sumif函数进行跨表求和，并做静态化设置？,1677052753,1677052753,103,职业职场,10,2,0,23,0,30,0,0,835,1,0,2.0,0.0,0.0,31.0,31.0,0.0,1.0,1011.0,4.0,31973.0,341.0,5457.134897360704,139.16715542521993,1,？,0,0.6858564814814815,13101.0,0,0,0.0,0.0
224760759,1677111200,1020570419,ChatGPT：工作我都能干，做人还得您来,1677074535,1677074535,296,职业职场,8,12,5,12,0,33,2,3,302,1,0,14.0,7.0,0.0,20.0,56.0,4.0,7.0,551.0,4.0,32495.0,23.0,20298.739130434784,2225.6521739130435,1,。,0,0.4243634259259259,33229.375,0,0,0.0,0.0
224767240,1677112049,1019949015,坚持读书2000天发现，人生变强的秘诀是快速放弃？,1677051019,1677051019,852,职业职场,11,215,51,268,0,285,29,28,4304,1,0,292.0,91.0,0.0,417.0,428.0,49.0,41.0,6638.0,6.0,45456.0,27.0,35856.333333333336,1306.148148148148,1,？,0,0.7063657407407408,207372.18181818182,7,2,1.25,1.875
224778098,1677111302,1020538160,Excel技巧：Xlookup再厉害，也没Vlookup组合Match公式强！,1677070964,1677070964,254,职业职场,3,79,3,237,0,342,13,18,4854,1,0,138.0,3.0,0.0,582.0,546.0,32.0,57.0,16528.0,6.0,1417668.0,479.0,14741.106471816283,534.1920668058455,0,！,0,0.466875,757.0,0,1,0.5555555555555556,0.8888888888888888
224779284,1677111425,1020458048,假如我给客户写封信，哈哈哈哈哈,1677067348,1677067348,107,职业职场,2,17,2,7,0,124,16,5,1916,1,0,34.0,4.0,0.0,29.0,297.0,32.0,18.0,4354.0,4.0,32338.0,94.0,23372.468085106382,1011.7553191489362,0,。,0,0.510150462962963,9.0,1,1,0.06666666666666667,1.6
224781681,1677114695,1018444492,公务员职务职级并行，无法晋升的几种情形,1676964720,1676964720,213,职业职场,5,2,0,9,0,44,10,0,1751,1,0,2.0,0.0,0.0,11.0,54.0,10.0,0.0,1984.0,4.0,39704.0,148.0,19574.364864864863,643.4459459459459,0,。,0,1.7358217592592593,6252.2,0,0,1.5,1.75
224842656,1677111606,1020314479,一道题教你学：基层应急处突思维（示范答题）,1677061353,1677061354,209,职业职场,8,0,0,13,0,14,2,0,798,1,0,0.0,0.0,0.0,14.0,20.0,5.0,1.0,1052.0,5.0,35260.0,346.0,3586.5289017341042,78.64739884393063,0,。,0,0.5816319444444444,4715.5,1,0,1.0,0.0
224857623,1677111602,1020300743,人最大的导师就是自己，多自省多认识自己，总会找到答案,1677061529,1677061529,223,职业职场,4,51,1,99,0,134,9,14,1927,1,0,59.0,1.0,0.0,127.0,163.0,15.0,19.0,2420.0,6.0,97704.0,580.0,18051.775862068964,374.29137931034484,0,。,0,0.5795486111111111,38.5,0,0,0.5,0.5
267048165,1677123280,1011664357,【2.16直播回放】美国白尾鹿感染问题,1676601043,1676601043,1178,职业职场,8,124,76,92,0,319,72,82,9768,1,0,130.0,77.0,0.0,95.0,324.0,72.0,83.0,10010.0,6.0,853311.0,120.0,113807.0,1958.1166666666666,0,。,0,6.044409722222222,7077.625,1,0,0.6744186046511628,4.906976744186046
267049388,1677121600,1012321785,什么样的老板值得跟随,1676675400,1676628900,87,职业职场,9,2,0,37,0,42,3,16,1692,1,0,2.0,0.0,0.0,42.0,45.0,3.0,16.0,1829.0,4.0,40093.0,895.0,3076.863687150838,115.21005586592179,0,。,0,5.164351851851852,15070.555555555555,0,0,0.0,2.0
267050511,1677119882,1014825096,超赞！气质女神小学英语优质课！精彩导入+动作带学！考编面试必学！,1676768650,1676768650,181,职业职场,8,0,0,7,0,6,0,2,289,1,0,0.0,0.0,0.0,7.0,6.0,0.0,4.0,336.0,4.0,30520.0,168.0,6877.339285714285,213.9702380952381,1,！,0,4.065185185185185,10.375,0,0,0.0,0.0
267121502,1677121075,1013491734,退役后户口本写什么？拒服兵役影响几代人？,1676696779,1676696780,198,职业职场,10,1057,527,647,0,12370,839,79,331560,1,0,1098.0,538.0,0.0,664.0,12697.0,856.0,82.0,342113.0,6.0,130631.0,53.0,241815.77358490566,19371.905660377357,1,？,0,4.910833333333334,201942.9,0,1,2.4652777777777777,33.84027777777778
267138368,1677113481,1018358451,我被末尾淘汰逼的掉了三层皮，为何还如此倡行呢？,1676984700,1676962886,273,职业职场,2,2,0,16,0,37,1,5,1275,1,0,3.0,1.0,0.0,19.0,46.0,3.0,8.0,1670.0,4.0,40093.0,895.0,3076.863687150838,115.21005586592179,0,？,0,1.4905208333333333,119614.0,0,0,0.0,0.0
267184398,1677113847,1017448466,400-信号放大电路中，三极是否己经导通的判断方法,1676976000,1676900733,125,职业职场,6,2,0,3,0,20,1,1,170,1,0,2.0,0.0,0.0,3.0,23.0,1.0,1.0,194.0,5.0,31952.0,373.0,3728.55764075067,119.9088471849866,1,。,0,1.5954513888888888,96.83333333333333,0,0,0.0,0.0
267206996,1677118239,1015317086,《无领导小组面试通关课》片段2：最高级的论据，帮你摆脱“学生气”,1676809800,1676791556,485,职业职场,10,38,36,23,0,60,14,5,1541,1,0,38.0,37.0,0.0,23.0,64.0,16.0,5.0,1601.0,5.0,46974.0,38.0,38089.02631578947,1701.8947368421052,1,。,0,3.5698958333333333,189570.0,0,10,0.3,1.3
267223136,1677118074,1015962089,在珠三角当老师的真实收入，月薪1.4万，年终奖4万，公积金3800,1676817073,1676817073,128,职业职场,6,53,15,32,0,245,113,34,9266,1,0,57.0,15.0,0.0,34.0,254.0,115.0,36.0,9830.0,6.0,87527.0,228.0,55448.90350877193,1314.9298245614036,1,。,0,3.4838078703703705,21118.5,6,0,2.5625,4.96875
267248602,1677118116,1015910555,淘宝搜索又改版了,1676815008,1676815008,126,职业职场,6,5,1,23,0,69,7,3,3918,1,0,5.0,1.0,0.0,25.0,72.0,7.0,3.0,4322.0,4.0,33805.0,287.0,5484.7874564459935,189.90243902439025,0,。,0,3.5081944444444444,2567.5,0,0,0.4,5.8
267251665,1677113615,1018831895,考研失败，立马入职！从简历空白到满满一页纸，她的简历长啥样？,1676981011,1676981011,156,职业职场,11,4,1,66,0,34,6,5,581,1,0,28.0,1.0,0.0,227.0,97.0,18.0,10.0,1505.0,5.0,56917.0,189.0,17890.41798941799,429.010582010582,1,？,0,1.5347685185185185,9138.545454545454,3,0,1.0,0.0
267322061,1677111892,1020140848,【征兵】征兵到哪一步不能后悔？未授衔可以全身而退吗？,1677056011,1677056011,179,职业职场,10,77,115,71,0,1149,186,20,15652,1,0,92.0,124.0,0.0,98.0,1490.0,273.0,21.0,25399.0,6.0,130631.0,53.0,241815.77358490566,19371.905660377357,1,？,0,0.6467708333333333,201933.6,1,1,2.607142857142857,18.517857142857142
